Tamanho Hairpin sem Loop,Entropia_HP_S_Loop,HP_S_Loop_state_change,GC_Inicial_Hairpin
0,0.5,0,0
0,0.9591,0.0312,0.0833
0,0.9591,0.0312,0
0,0.9591,0.0938,0
0,0.9591,0.0312,0.1667
0,0.9591,0.0938,0.0833
0,0.5,0,0.25
0,0.9591,0.0938,0.1667
0,0.5,0.0312,0.25
0,0.5,0.0938,0.25
0,0.5,0.0312,0
0,0.5,0.0938,0
0.0476,0.5,0,0
0.0476,0.9056,0.0312,0.0833
0.0476,0.9056,0.0312,0
0.0476,0.9056,0.0938,0
0.0476,1,0.0312,0.1667
0.0476,1,0.0312,0
0.0476,1,0.0938,0.0833
0.0476,1,0.0938,0
0.0476,1,0.1562,0
0.0476,1,0.1562,0.0833
0.0476,0.9056,0.0312,0.25
0.0476,0.9056,0.0938,0.1667
0.0476,0.9056,0.0938,0.0833
0.0476,0.5,0,0.3333
0.0476,1,0.0938,0.1667
0.0476,0.9056,0.0938,0.25
0.0476,0.9056,0.1562,0.25
0.0476,0.9056,0.1562,0.0833
0.0476,0.9056,0.1562,0.1667
0.0476,0.9056,0.1562,0
0.0476,0.5,0.0312,0.3333
0.0476,0.5,0.0938,0.3333
0.0476,0.5,0.1562,0.3333
0.0476,0.5,0.0312,0
0.0476,0.5,0.0938,0
0.0476,1,0.1562,0.1667
0.0476,0.5,0.1562,0
0.0952,0.5,0,0
0.0952,0.8609,0.0312,0.0833
0.0952,0.8609,0.0312,0
0.0952,0.8609,0.0938,0
0.0952,0.9855,0.0312,0.1667
0.0952,0.9855,0.0312,0
0.0952,0.9855,0.1562,0
0.0952,0.9855,0.0938,0
0.0952,0.9855,0.2188,0
0.0952,0.9855,0.0938,0.0833
0.0952,0.9855,0.1562,0.0833
0.0952,0.9855,0.0312,0.25
0.0952,0.9855,0.1562,0.1667
0.0952,0.9855,0.2188,0.0833
0.0952,0.9855,0.0938,0.1667
0.0952,0.8609,0.0312,0.3333
0.0952,0.8609,0.0938,0.25
0.0952,0.8609,0.0938,0.0833
0.0952,0.8609,0.0938,0.1667
0.0952,0.5,0,0.4167
0.0952,0.9855,0.0938,0.25
0.0952,0.9855,0.1562,0.25
0.0952,0.9855,0.2188,0.1667
0.0952,0.8609,0.0938,0.3333
0.0952,0.8609,0.1562,0.3333
0.0952,0.8609,0.1562,0
0.0952,0.8609,0.2188,0.0833
0.0952,0.8609,0.1562,0.25
0.0952,0.8609,0.1562,0.1667
0.0952,0.8609,0.1562,0.0833
0.0952,0.8609,0.2188,0.25
0.0952,0.5,0.0312,0.4167
0.0952,0.5,0.0938,0.4167
0.0952,0.8609,0.2188,0.3333
0.0952,0.8609,0.2188,0
0.0952,0.8609,0.2188,0.1667
0.0952,0.5,0.2188,0.4167
0.0952,0.5,0.1562,0.4167
0.0952,0.5,0.0312,0
0.0952,0.5,0.0938,0
0.0952,0.9855,0.2188,0.25
0.0952,0.5,0.1562,0
0.0952,0.5,0.2188,0
0.1429,0.5,0,0
0.1429,0.825,0.0312,0.0833
0.1429,0.825,0.0312,0
0.1429,0.825,0.0938,0
0.1429,0.9591,0.0312,0.1667
0.1429,0.9591,0.0312,0
0.1429,0.9591,0.0938,0
0.1429,0.9591,0.1562,0.0833
0.1429,0.9591,0.0938,0.0833
0.1429,0.9591,0.1562,0
0.1429,0.9591,0.2188,0
0.1429,1,0.0312,0.25
0.1429,1,0.0312,0
0.1429,1,0.2188,0
0.1429,1,0.1562,0
0.1429,1,0.1562,0.0833
0.1429,1,0.2812,0.0833
0.1429,1,0.0938,0.0833
0.1429,1,0.0938,0
0.1429,1,0.1562,0.1667
0.1429,1,0.0938,0.1667
0.1429,1,0.2188,0.0833
0.1429,1,0.2812,0
0.1429,0.9591,0.0312,0.3333
0.1429,0.9591,0.0938,0.25
0.1429,0.9591,0.0938,0.1667
0.1429,0.9591,0.2188,0.1667
0.1429,0.9591,0.2188,0.0833
0.1429,0.9591,0.1562,0.1667
0.1429,0.9591,0.1562,0.25
0.1429,0.825,0.0312,0.4167
0.1429,0.825,0.0938,0.25
0.1429,0.825,0.0938,0.0833
0.1429,0.825,0.0938,0.1667
0.1429,0.825,0.0938,0.3333
0.1429,0.5,0,0.5
0.1429,1,0.0938,0.25
0.1429,1,0.1562,0.25
0.1429,1,0.2188,0.1667
0.1429,0.9591,0.0938,0.3333
0.1429,0.9591,0.1562,0.3333
0.1429,0.9591,0.2812,0.0833
0.1429,0.9591,0.2812,0
0.1429,0.9591,0.2188,0.25
0.1429,0.9591,0.2812,0.1667
0.1429,0.9591,0.2812,0.25
0.1429,0.825,0.0938,0.4167
0.1429,0.825,0.1562,0.4167
0.1429,0.825,0.1562,0.3333
0.1429,0.825,0.1562,0.1667
0.1429,0.825,0.1562,0
0.1429,0.825,0.1562,0.25
0.1429,0.825,0.2188,0.3333
0.1429,0.825,0.2188,0.0833
0.1429,0.825,0.2188,0.25
0.1429,0.825,0.2188,0.1667
0.1429,0.825,0.1562,0.0833
0.1429,0.5,0.0312,0.5
0.1429,0.5,0.0938,0.5
0.1429,0.9591,0.2188,0.3333
0.1429,0.825,0.2812,0.4167
0.1429,0.825,0.2812,0.1667
0.1429,0.825,0.2812,0.3333
0.1429,0.825,0.2188,0
0.1429,0.825,0.2188,0.4167
0.1429,0.825,0.2812,0.25
0.1429,0.825,0.2812,0.0833
0.1429,0.825,0.2812,0
0.1429,0.5,0.2188,0.5
0.1429,0.5,0.1562,0.5
0.1429,0.5,0.2812,0.5
0.1429,0.5,0.0312,0
0.1429,0.5,0.0938,0
0.1429,1,0.2188,0.25
0.1429,1,0.2812,0.1667
0.1429,1,0.2812,0.25
0.1429,0.9591,0.2812,0.3333
0.1429,0.5,0.1562,0
0.1429,0.5,0.2188,0
0.1429,0.5,0.2812,0
0.1905,0.5,0,0
0.1905,0.7958,0.0312,0.0833
0.1905,0.7958,0.0312,0
0.1905,0.7958,0.0938,0
0.1905,0.9315,0.0312,0.1667
0.1905,0.9315,0.0312,0
0.1905,0.9315,0.2188,0
0.1905,0.9315,0.1562,0.0833
0.1905,0.9315,0.1562,0
0.1905,0.9315,0.0938,0
0.1905,0.9315,0.0938,0.0833
0.1905,0.9926,0.0312,0.25
0.1905,0.9926,0.0312,0
0.1905,0.9926,0.0938,0
0.1905,0.9926,0.1562,0.1667
0.1905,0.9926,0.2812,0.0833
0.1905,0.9926,0.1562,0
0.1905,0.9926,0.0938,0.1667
0.1905,0.9926,0.1562,0.0833
0.1905,0.9926,0.2188,0.0833
0.1905,0.9926,0.2188,0
0.1905,0.9926,0.2812,0
0.1905,0.9926,0.0938,0.0833
0.1905,0.9926,0.3438,0
0.1905,0.9926,0.0312,0.3333
0.1905,0.9926,0.2188,0.1667
0.1905,0.9926,0.1562,0.25
